"Job Title","Occupation","Company","City / State","Metro","Wage","Year"
"Accountant","Accountants and Auditors","California Pacific Technical Services, LLC","Tamuning, GU","","$58,739","2026"
"Accountant","Accountants and Auditors","Pulse Wire & Cable, LLC","Royal Oak, MI","Detroit-Warren-Dearborn, MI","$90,875","2026"
"ACCOUNTANT","Accountants and Auditors","CORE TECH INTERNATIONAL CORPORATION","TAMUNING, GU","","$50,000","2026"
"Accountant","Accountants and Auditors","V.G. Gozum Construction LLC","Tamuning, GU","","$35,714","2026"
"Accountant (Client Billing and Collections Supervisor)","Accountants and Auditors","SKT TECHNOLOGIES, INC.","Long Island City, NY","New York-Newark-Jersey City, NY-NJ-PA","$80,500","2026"
"Accountant, Square Financial Services","Accountants and Auditors","Square Financial Services, Inc.","Mint Hill, NC","Charlotte-Concord-Gastonia, NC-SC","$98,338","2026"
"ACCOUNTANTS","Accountants and Auditors","Burger & Comer, P.C.","Saipan, MP","","$18","2026"
"Accountants and Auditors - KBGFJG02436-14","Accountants and Auditors","Ernst & Young U.S. LLP","Los Angeles, CA","Los Angeles-Long Beach-Anaheim, CA","$180,003","2026"
"Accountants and Auditors - KBGFJG02436-14","Accountants and Auditors","Ernst & Young U.S. LLP","Woodland Hills, CA","","$180,003","2026"
"Accountants and Auditors - KBGFJG101410-14","Accountants and Auditors","Ernst & Young U.S. LLP","New York, NY","New York-Newark-Jersey City, NY-NJ-PA","$203,734","2026"
"Accountants and Auditors - KBGFJG101410-14","Accountants and Auditors","Ernst & Young U.S. LLP","New York, NY","New York-Newark-Jersey City, NY-NJ-PA","$203,734","2026"
"Accountants and Auditors - KBGFJG207500-8","Accountants and Auditors","Ernst & Young U.S. LLP","Franklin Square, NY","New York-Newark-Jersey City, NY-NJ-PA","$215,801","2026"
"Accountants and Auditors - KBGFJG207500-8","Accountants and Auditors","Ernst & Young U.S. LLP","New York, NY","New York-Newark-Jersey City, NY-NJ-PA","$215,801","2026"
"Accountants and Auditors - KBGFJG46027-14","Accountants and Auditors","Ernst & Young U.S. LLP","Boston, MA","Boston-Cambridge-Newton, MA-NH","$153,451","2026"
"Accountants and Auditors - KBGFJG46027-14","Accountants and Auditors","Ernst & Young U.S. LLP","Brighton, MA","Boston-Cambridge-Newton, MA-NH","$153,451","2026"
"Accountants and Auditors - KBGFJG46027-14","Accountants and Auditors","Ernst & Young U.S. LLP","Waltham, MA","Boston-Cambridge-Newton, MA-NH","$153,451","2026"
"Accountants and Auditors - KBGFJG47699-23","Accountants and Auditors","Ernst & Young U.S. LLP","Elmhurst, NY","New York-Newark-Jersey City, NY-NJ-PA","$232,000","2026"
