"Job Title","Occupation","Company","City / State","Metro","Wage","Year"
"Air Quality Engineer II","Environmental Engineers","Maricopa Association of Governments","Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ","$78,083","2025"
"Air Quality Engineer II","Environmental Engineers","South Coast Air Quality Management District","Diamond Bar, CA","","$116,962","2025"
"Air Quality Graduate Engineer","Environmental Engineers","AARC Environmental, Inc.","Houston, TX","Houston-The Woodlands-Sugar Land, TX","$145,000","2025"
"Air Resources Engineer","Environmental Engineers","California Air Resources Board","Riverside, CA","Riverside-San Bernardino-Ontario, CA","$8,891","2025"
"Air Resources Engineer","Environmental Engineers","California Air Resources Board","Sacramento, CA","Sacramento--Roseville--Arden-Arcade, CA","$7,212","2025"
"Air Resources Engineer","Environmental Engineers","California Air Resources Board","Riverside, CA","Riverside-San Bernardino-Ontario, CA","$8,891","2025"
"Air Resources Engineer","Environmental Engineers","California Air Resources Board","Riverside, CA","Riverside-San Bernardino-Ontario, CA","$8,891","2025"
"Air Resources Engineer","Environmental Engineers","California Air Resources Board","Sacramento, CA","Sacramento--Roseville--Arden-Arcade, CA","$9,336","2025"
"Air Sustainability Scientist","Environmental Scientists and Specialists, Including Health","New York Power Authority","Astoria, NY","New York-Newark-Jersey City, NY-NJ-PA","$140,000","2025"
"Aircraft Technologies Engineer","Engineers, All Other","A Professional Aviation Services Corp.","Miami, FL","Miami-Fort Lauderdale-West Palm Beach, FL","$72,510","2025"
"Airline Pilot","Airline Pilots, Copilots, and Flight Engineers","Atlas Air, Inc.","Miami, FL","Miami-Fort Lauderdale-West Palm Beach, FL","$101","2025"
"Airworthiness Engineer","Aerospace Engineers","Beta Technologies, Inc.","South Burlington, VT","Burlington-South Burlington, VT","$111,571","2025"
"Airworthiness Engineer","Aerospace Engineers","Radical Inc","Seattle, WA","Seattle-Tacoma-Bellevue, WA","$150,000","2025"
"Airworthiness Engineer","Aerospace Engineers","Radical Inc","Seattle, WA","Seattle-Tacoma-Bellevue, WA","$150,000","2025"
"Algorithm Developer, HAIL","Statisticians","HRT Research LLC","NEW YORK, NY","New York-Newark-Jersey City, NY-NJ-PA","$185,000","2025"
"Amazon Paid Media Coordinator","Market Research Analysts and Marketing Specialists","HEALTH AND HAPPINESS US LLC","Wilmington, DE","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","$60,000","2025"
"Analyst - Supply Chain Analytics","Business Intelligence Analysts","Rahi Systems, Inc.","Ashburn, VA","Washington-Arlington-Alexandria, DC-VA-MD-WV","$53","2025"
"Analyst - Supply Chain II","Logistics Analysts","HonorHealth","Scottsdale, AZ","Phoenix-Mesa-Scottsdale, AZ","$81,348","2025"
"Analyst - Supply Chain II","Logistics Analysts","HonorHealth","Scottsdale, AZ","Phoenix-Mesa-Scottsdale, AZ","$81,348","2025"
"Analyst, AI and Business Development","Software Developers","Fiserv Solutions, LLC","Omaha, NE","Omaha-Council Bluffs, NE-IA","$115,939","2025"
"ANALYST, CAMPAIGN DATA DEVELOPMENT","Data Scientists","SIRIUS XM RADIO LLC","NEW YORK, NY","New York-Newark-Jersey City, NY-NJ-PA","$112,000","2025"
"Analyst, Class Programs & Reunion Campaigns","Statisticians","Georgetown University","Washington, DC","Washington-Arlington-Alexandria, DC-VA-MD-WV","$65,000","2025"
"Analyst, Meta Campaign Management","Market Research Analysts and Marketing Specialists","Expedia, Inc. ","Seattle, WA","Seattle-Tacoma-Bellevue, WA","$88,462","2025"
"Analyst, Retail Science","Business Intelligence Analysts","Carvana, LLC","Tempe, AZ","Phoenix-Mesa-Scottsdale, AZ","$73,757","2025"
"Analytics Leader, Aircraft Maintenance and Airport Technical","Operations Research Analysts","Delta Air Lines, Inc.","Atlanta, GA","Atlanta-Sandy Springs-Roswell, GA","$132,300","2025"
"Anesthesiologist / Pediatric Pain Management Physician","Anesthesiologists","Prisma Health - University Medical Group","Greenville, SC","Greenville-Anderson-Mauldin, SC","$392,000","2025"
"Anesthesiologist/ Pain Medicine","Anesthesiologists","INTEGRATED ANESTHESIA ASSOCIATES LLC","Hartford, CT","Hartford-West Hartford-East Hartford, CT","$336,000","2025"
"Anesthesiologist/ Pediatric Pain Management Physician","Anesthesiologists","Prisma Health - University Medical Group","Greenville, SC","Greenville-Anderson-Mauldin, SC","$392,000","2025"
"Application Developer - Mainframe","Software Developers","ATOS SYNTEL INC","Nashville, TN","Nashville-Davidson--Murfreesboro--Franklin, TN","$113,000","2025"
"Application Developer - Mainframe Modernization","Software Developers","IBM Corporation","Exton, PA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","$126,250","2025"
"Application Developer - Mainframe Modernization","Software Developers","IBM Corporation","Exton, PA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","$137,714","2025"
"Application Maintenance and Services Lead","Computer Systems Analysts","IBM Corporation","Portland, OR","Portland-Vancouver-Hillsboro, OR-WA","$120,869","2025"
"Applications Analyst, SAP Supply Chain","Software Developers","MAST Technology Services, Inc.","Reynoldsburg, OH","Columbus, OH","$110,000","2025"
"Applied AI Scientist","Data Scientists","Fiddler Labs, Inc.","Palo Alto, CA","San Jose-Sunnyvale-Santa Clara, CA","$160,000","2025"
"Applied AI Scientist","Data Scientists","Gusto, Inc.","Boston, MA","Boston-Cambridge-Newton, MA-NH","$197,600","2025"
"Applied AI/Machine Learning Engineer","Data Scientists","Intuitive Surgical Operations, Inc.","Sunnyvale, CA","San Jose-Sunnyvale-Santa Clara, CA","$192,700","2025"
